contractor_id,contractor_name_old,contractor_name
7010401022916.0,日本電気株式会社,日本電気株式会社
,米空軍省,
1010001089519.0,新成物産株式会社,新成物産株式会社
,米陸軍省,
4010401036687.0,株式会社ENEOSサンエナジー,株式会社ENEOSサンエナジー
4030002050557.0,有限会社小柳ルブサービス,有限会社小柳ルブサービス
2120001085786.0,トーヨーエナジー株式会社,トーヨーエナジー株式会社
1011001022683.0,ミドリ安全株式会社,ミドリ安全株式会社
4010702003923.0,有限会社志藤商会,有限会社志藤商会
4010001008715.0,株式会社ダイドーリミテッド,株式会社ダイドーリミテッド
7140001005647.0,兼松株式会社,兼松株式会社
6010701015307.0,東京日産自動車販売株式会社,東京日産自動車販売株式会社
2140001058922.0,山陽色素株式会社,山陽色素株式会社
1210001015990.0,未来テクノ株式会社,未来テクノ株式会社
7010001036564.0,アキラ株式会社,アキラ株式会社
1210001012245.0,若泉漆器株式会社,若泉漆器株式会社
7013301019486.0,キーコム株式会社,キーコム株式会社
2011101066274.0,株式会社装備開発機構,株式会社装備開発機構
8140001051822.0,ユニチカ株式会社,ユニチカ株式会社
6010001030519.0,株式会社武蔵富装,株式会社武蔵富装
1010001045703.0,新陽株式会社,新陽株式会社
3010001034943.0,株式会社ブリヂストン,株式会社ブリヂストン
9010001011318.0,出光興産株式会社,出光興産株式会社
1180301018771.0,トヨタ自動車株式会社,トヨタ自動車株式会社
7021002063448.0,有限会社オムテップ,有限会社オムテップ
9010001000634.0,イズミ産業株式会社,イズミ産業株式会社
2010001059025.0,株式会社守谷商会,株式会社守谷商会
6010001038999.0,越前屋多崎株式会社,越前屋多崎株式会社
8180001092838.0,トーエイ株式会社,トーエイ株式会社
3010501012531.0,東京サイレン株式会社,東京サイレン株式会社
7120001013874.0,ヤマトプロテック株式会社,ヤマトプロテック株式会社
4040001034188.0,株式会社リーガルコーポレーション,株式会社リーガルコーポレーション
4013301002924.0,株式会社倉本産業,株式会社倉本産業
7050001005920.0,山崎工業株式会社,山崎工業株式会社
6120001150363.0,株式会社初田製作所,株式会社初田製作所
3010401014149.0,株式会社ジュピターコーポレーション,株式会社ジュピターコーポレーション
1010501013969.0,株式会社メイト・商会,株式会社メイト・商会
3390001011970.0,青木安全靴製造株式会社,青木安全靴製造株式会社
3010501015170.0,日本官帽制帽株式会社,日本官帽制帽株式会社
8050001032278.0,昭和金属工業株式会社,昭和金属工業株式会社
7210001013923.0,小浜製綱株式会社,小浜製綱株式会社
2011001013590.0,株式会社武田商店,株式会社武田商店
9020001031109.0,日産自動車株式会社,日産自動車株式会社
2010001179203.0,株式会社松吉ビジネス・アソシエイツ,株式会社松吉ビジネス・アソシエイツ
6120901008438.0,前岡製綱株式会社,前岡製綱株式会社
3010001024366.0,東興産業株式会社,東興産業株式会社
7010401084106.0,神田通信工業株式会社,神田通信工業株式会社
7012401000240.0,NECネットワーク・センサ株式会社,NECネットワーク・センサ株式会社
7120001040811.0,株式会社赤尾,株式会社赤尾
7500002020427.0,朝日エナジー有限会社,朝日エナジー有限会社
5120001067360.0,帝人フロンティア株式会社,帝人フロンティア株式会社
5010501016365.0,菊高産業株式会社,菊高産業株式会社
1010001054927.0,株式会社廣瀬商会,株式会社廣瀬商会
1110001022254.0,株式会社大原鉄工所,株式会社大原鉄工所
3013301035504.0,株式会社FLE,株式会社FLE
8030001017999.0,株式会社タガヤ,株式会社タガヤ
3060001012259.0,ハイランドMP株式会社,ハイランドMP株式会社
3011001008986.0,櫻護謨株式会社,櫻護謨株式会社
3120001091321.0,山甚物産株式会社,山甚物産株式会社
7010001034840.0,帝國纎維株式会社,帝國纎維株式会社
4010001108325.0,ワシオ厨理工業株式会社,ワシオ厨理工業株式会社
9200001015704.0,三甲テキスタイル株式会社,三甲テキスタイル株式会社
8010001080710.0,株式会社メルコーポレーション,株式会社メルコーポレーション
6010001034858.0,トスコ株式会社,トスコ株式会社
6010401055438.0,エアバス・ヘリコプターズ・ジャパン株式会社,エアバス・ヘリコプターズ・ジャパン株式会社
8100001002473.0,長野日本無線株式会社,長野日本無線株式会社
8480001000761.0,株式会社サンテック,株式会社サンテック
2010001007784.0,明星電気株式会社,明星電気株式会社
,米海軍省,
9010001032537.0,株式会社渡辺武商店,株式会社渡辺武商店
7010001008844.0,株式会社日立製作所,株式会社日立製作所
4010601008940.0,大川工業株式会社,大川工業株式会社
4020001029090.0,三波工業株式会社,三波工業株式会社
2010001013865.0,甲株式会社,甲株式会社
5013101001167.0,細谷火工株式会社,細谷火工株式会社
8010401050387.0,三菱重工業株式会社,三菱重工業株式会社
8010401014482.0,株式会社ジャパンロジスティクスサービス,株式会社ジャパンロジスティクスサービス
4010701008683.0,藤倉航装株式会社,藤倉航装株式会社
5360001009256.0,株式会社りゅうせき,株式会社りゅうせき
5010701008682.0,藤倉コンポジット株式会社,藤倉コンポジット株式会社
6011501017030.0,株式会社重松製作所,株式会社重松製作所
1120001019349.0,アイコム株式会社,アイコム株式会社
4010401030574.0,横浜ゴム株式会社,横浜ゴム株式会社
8010801000958.0,株式会社石森製作所,株式会社石森製作所
7010001045862.0,新日本無線株式会社,新日本無線株式会社
9020001071492.0,富士電機株式会社,富士電機株式会社
6080101010307.0,株式会社デルテック,株式会社デルテック
4010001062927.0,株式会社エスエスティー,株式会社エスエスティー
1010401007261.0,神山産業株式会社,神山産業株式会社
5140001070263.0,古野電気株式会社,古野電気株式会社
6180301010542.0,日本トレクス株式会社,日本トレクス株式会社
9013401005070.0,コニカミノルタジャパン株式会社,コニカミノルタジャパン株式会社
7180001032621.0,豊和工業株式会社,豊和工業株式会社
8010601009209.0,株式会社今泉商店,株式会社今泉商店
3020001018037.0,株式会社鶴見精機,株式会社鶴見精機
4030001063915.0,興和光学株式会社,興和光学株式会社
2010001005697.0,株式会社MMコーポレーション,株式会社MMコーポレーション
2330001002803.0,太陽工業株式会社,太陽工業株式会社
3180001018624.0,リコーエレメックス株式会社,リコーエレメックス株式会社
4010001008772.0,三菱電機株式会社,三菱電機株式会社
7011001007266.0,株式会社ケイウッド商会,株式会社ケイウッド商会
5010001008771.0,三菱商事株式会社,三菱商事株式会社
1140001005719.0,川崎重工業株式会社,川崎重工業株式会社
9010401028746.0,三菱スペース・ソフトウエア株式会社,三菱スペース・ソフトウエア株式会社
7180001079431.0,旭精機工業株式会社,旭精機工業株式会社
1020001071491.0,富士通株式会社,富士通株式会社
6220001007685.0,株式会社石川製作所,株式会社石川製作所
4010801021677.0,株式会社東京城南サービス,株式会社東京城南サービス
8120001059660.0,ダイキン工業株式会社,ダイキン工業株式会社
7010401006126.0,沖電気工業株式会社,沖電気工業株式会社
9010801024873.0,株式会社光電製作所,株式会社光電製作所
2011101014084.0,東芝インフラシステムズ株式会社,東芝インフラシステムズ株式会社
9010401022708.0,日本船具株式会社,日本船具株式会社
5370001003340.0,カメイ株式会社,カメイ株式会社
9010401116534.0,コスモ石油マーケティング株式会社,コスモ石油マーケティング株式会社
1080001002318.0,鈴与商事株式会社,鈴与商事株式会社
6010501002918.0,株式会社かまや,株式会社かまや
7180001047999.0,中川物産株式会社,中川物産株式会社
1011101062340.0,大東通商株式会社,大東通商株式会社
1290001009738.0,林兼石油株式会社,林兼石油株式会社
6140001006992.0,川重商事株式会社,川重商事株式会社
6240001026130.0,玉理興業株式会社,玉理興業株式会社
8011801011532.0,藤本油化株式会社,藤本油化株式会社
3010501001988.0,株式会社大淵銀器,株式会社大淵銀器
5120001072749.0,日本グリース株式会社,日本グリース株式会社
2011602022692.0,有限会社東京インストルメンツ,有限会社東京インストルメンツ
9011401004150.0,中央油化株式会社,中央油化株式会社
4140001048351.0,川上塗料株式会社,川上塗料株式会社
6010001089084.0,NSI株式会社,NSI株式会社
8010001139696.0,ケイラインロジスティックス株式会社,ケイライン株式会社
6140001008691.0,住友ゴム工業株式会社,住友ゴム工業株式会社
4030001060045.0,通信興業株式会社,通信興業株式会社
1010701002243.0,株式会社カイト,株式会社カイト
2180001085855.0,帝人テクロス株式会社,帝人テクロス株式会社
6013301002088.0,大里商事株式会社,大里商事株式会社
9010001139869.0,デレーコ・ジャパン株式会社,デレーコ・ジャパン株式会社
1010401069517.0,富士フイルムメディカル株式会社,富士フイルムメディカル株式会社
3010401019841.0,トヨタ部品東京共販株式会社,トヨタ部品東京共販株式会社
5360001008596.0,沖縄出光株式会社,沖縄出光株式会社
4010401035862.0,リーフエナジー株式会社,リーフエナジー株式会社
9010401078551.0,伊藤忠エネクス株式会社,伊藤忠エネクス株式会社
7011001008280.0,小林防火服株式会社,小林防火服株式会社
3011101018084.0,日立化成株式会社,日立化成株式会社
4080101014796.0,株式会社岡村造船所,株式会社岡村造船所
9010401012072.0,三興通商株式会社,三興通商株式会社
1010001058548.0,緑屋電気株式会社,緑屋電気株式会社
3240001041231.0,株式会社エディオン,株式会社エディオン
1260001013156.0,株式会社クラレ,株式会社クラレ
2010101004731.0,アコー販売株式会社,アコー販売株式会社
6010401016497.0,大伸化学株式会社,大伸化学株式会社
7020001010527.0,古河電池株式会社,古河電池株式会社
9010401097493.0,株式会社Japan,株式会社Japan
5011401002777.0,株式会社三和日精,株式会社三和日精
8010401053761.0,三信化工株式会社,三信化工株式会社
4380001013570.0,日進工業株式会社,日進工業株式会社
5020001035006.0,株式会社トミヤ,株式会社トミヤ
2021001021865.0,アンリツ株式会社,アンリツ株式会社
2010001014327.0,極東貿易株式会社,極東貿易株式会社
5340001004176.0,株式会社ミタデン,株式会社ミタデン
3010401029221.0,明治産業株式会社,明治産業株式会社
1011001021842.0,堀口エンジニアリング株式会社,堀口エンジニアリング株式会社
2010501029873.0,株式会社台和,株式会社台和
4010001133876.0,JXTGエネルギー株式会社,JXTGエネルギー株式会社
3012401012867.0,日本無線株式会社,日本無線株式会社
7120001077531.0,原田産業株式会社,原田産業株式会社
9010501010505.0,日本電計株式会社,日本電計株式会社
9010401036749.0,ホシザキ東京株式会社,ホシザキ東京株式会社
3010403011350.0,キーサイト・テクノロジー合同会社,キーサイト・テクノロジー株式会社
2010801012579.0,株式会社リコー,株式会社リコー
1010801007852.0,東京電波株式会社,東京電波株式会社
4130001041539.0,株式会社ジーエス・ユアサテクノロジー,株式会社ジーエス・ユアサテクノロジー
5010401014535.0,昭和シェル石油株式会社,昭和シェル石油株式会社
3010401026805.0,富士ゼロックス株式会社,富士ゼロックス株式会社
3060001012259.0,ハイランドテクノ株式会社,ハイランドMP株式会社
5020001011667.0,株式会社ダイワコーポレーション,株式会社ダイワコーポレーション
2011101053990.0,株式会社シナジー・エンタープライズ,株式会社シナジー・エンタープライズ
2010601008174.0,株式会社昭電,株式会社昭電
6010401015821.0,東京センチュリー株式会社,東京センチュリー株式会社
9010401021742.0,双日エアロスペース株式会社,双日エアロスペース株式会社
5010501005434.0,株式会社SHOEI,株式会社SHOEI
,JA三井リース株式会社,
,リコーリース株式会社,
,株式会社かまや東京オイル販売,
,株式会社ENEOSフロンティア,
,旭化成ケミカルズ株式会社,
,東洋物産株式会社,
,株式会社レガン,
,株式会社オガワテクノ,
,帝国繊維株式会社,
,高松令三商店,
,エースワンダー商事株式会社,
,ミツハマ防災設備株式会社,
,新神戸電機株式会社,
,シキボウ株式会社,
,東京製綱繊維ロープ株式会社,
,野中産業株式会社,
,ミネベア株式会社,
,日東ベスト株式会社,
,三立製菓株式会社,
,讃岐缶詰株式会社,
,大井電気株式会社,
,エム・イー・エス特機株式会社,
,斎田産業株式会社,
,株式会社ネットコムセック,
,米国家安全保障庁,
,ニチユMHI東京株式会社,
,太洋無線株式会社,
,アンテナ技研株式会社,
,EMGマーケティング合同会社,
,日本信号株式会社,
,NECネットワークプロダクツ株式会社,
,株式会社東芝,
,カヤバ工業株式会社,
,日本電子計算機株式会社,
,NECキャピタルソリューション株式会社,
,株式会社シナジーエンタープライズ,
,帝人ファイバー株式会社,
,株式会社バーテックススタンダード,
,日本工営株式会社,
,日本ATS株式会社,
,日発販売株式会社,
,旭光通信システム株式会社,
,株式会社牧野商店,
,フランスベッド株式会社,
,ティーオーエー株式会社,
,東洋紡績株式会社,
,株式会社メイト・商會,
,日邦工業株式会社,
,ムサシノ機器株式会社,
,カヤバシステムマシナリー株式会社,
,パナソニックSN九州株式会社,
,髙木綱業株式会社,
,株式会社ケント情報通信,
,エム・シーシー食品株式会社,
5011101019196.0,富士重工業株式会社,株式会社SUBARU
,八木アンテナ株式会社,
,電気興業株式会社,
,齋田産業株式会社,
,興和グローブ株式会社,
,シマヅプレシジョンインスツルメンツインク,
,株式会社明治フレックス,
,ユニバーサル特機株式会社,
,株式会社エヌエフ回路設計ブロック,
,株式会社福島製作所,
,ティーオーエーエンジニアリング株式会社,
,エムエスエイジャパン株式会社,
,株式会社富士インダストリーズ,
,天龍エアロコンポーネント株式会社,
,パーカーエンジニアリング株式会社,
,JXエネルギー株式会社,
,米国防契約管理庁,
,富士紡ホールディングス株式会社,
,株式会社三幸,
,パナソニックシステムネットワークス株式会社,
,オガワ精機株式会社,
,株式会社HAMANI,
,株式会社TERADA.LENON,
,理研計器株式会社,
,三菱重工舶用機械エンジン株式会社,
,株式会社三友,
,株式会社城南,
,株式会社マルイ,
,株式会社誠研舍,
,株式会社研電,
,日鉄住金ドラム株式会社,
,米情報システム庁,
,ナロック株式会社,
,株式会社神田造船所,
,多摩川エアロシステムズ株式会社,
,株式会社ディジタル,
,株式会社ソリッド・ソリューションズ・インク,
,上村商事株式会社,
,株式会社堀場製作所,
,東洋エレクトロニクス株式会社,
,全日空商事株式会社,
,サーモフィッシャーサイエンティフィック株式会社,
,和興フィルタテクノロジー株式会社,
,株式会社イナバ,
,株式会社日立国際八木ソリューションズ,
,東燃ゼネラル石油株式会社,
,旧:ミネベア株式会社,
,日本バルカー工業株式会社,
,東邦薬品株式会社,
,住友精密工業株式会社,
,UDトラックス株式会社,
,株式会社エイリイ・エンジニアリング,
2010001010788.0,伊藤忠テクノソリューションズ株式会社,伊藤忠テクノソリューションズ株式会社
9010601021385.0,株式会社エヌ・ティ・ティ・データ,株式会社エヌ・ティ・ティ・データ
8020001076641.0,ジャパンマリンユナイテッド株式会社,ジャパンマリンユナイテッド株式会社
9010001034946.0,三井造船株式会社,三井造船株式会社
2010001078727.0,株式会社エム・シー・シー,株式会社エム・シー・シー
8010001057337.0,丸文株式会社,丸文株式会社
4010401022373.0,日本エム・アイ・シー株式会社,日本エム・アイ・シー株式会社
2030001075672.0,株式会社ゼネラルサービス,株式会社ゼネラルサービス
1010401002840.0,伊藤忠アビエーション株式会社,伊藤忠アビエーション株式会社
1010001041116.0,株式会社銀座銃砲店,株式会社銀座銃砲店
9010401010142.0,コスモ石油ルブリカンツ株式会社,コスモ石油ルブリカンツ株式会社
5040001026341.0,三共油化工業株式会社,三共油化工業株式会社
1010801000923.0,石野礦油株式会社,石野礦油株式会社
2010001112452.0,株式会社クロサカ,株式会社クロサカ
1120001058421.0,株式会社マーケテック,株式会社マーケテック
6120001144217.0,ユニキャリア株式会社,ロジスネクストユニキャリア株式会社
2010001038268.0,株式会社エス・ティ・ジャパン,株式会社エス・ティ・ジャパン
8010401003287.0,イヨンインターナショナル株式会社,イヨンインターナショナル株式会社
7010001064648.0,エヌ・ティ・ティ・コミュニケーションズ株式会社,エヌ・ティ・ティ・コミュニケーションズ株式会社
8010401007156.0,兼松エアロスペース株式会社,兼松エアロスペース株式会社
4010001057357.0,丸紅ケミックス株式会社,丸紅ケミックス株式会社
1180301009696.0,株式会社アイホー,株式会社アイホー
6010701007411.0,株式会社JALUX,株式会社JALUX
9110001007207.0,竹井機器工業株式会社,竹井機器工業株式会社
5120001059606.0,旭化成株式会社,旭化成株式会社
3010801008436.0,東京計器株式会社,東京計器株式会社
3011701013922.0,株式会社アルティア,株式会社アルティア
7010401037047.0,澤田産業株式会社,澤田産業株式会社
8010001032091.0,リチャードソンエレクトロニクス株式会社,リチャードソンエレクトロニクス株式会社
7010501010333.0,日東株式会社,日東株式会社
1010001087332.0,加賀ソルネット株式会社,加賀ソルネット株式会社
5010701019531.0,株式会社日本製鋼所,株式会社日本製鋼所
1013301021134.0,株式会社新栄商事,株式会社新栄商事
4010001016123.0,興亜化工株式会社,興亜化工株式会社
1010001020185.0,住商エアロシステム株式会社,住商エアロシステム株式会社
8120001077489.0,帝人株式会社,帝人株式会社
7010001034832.0,ダイトウボウ株式会社,ダイトウボウ株式会社
2010001004773.0,株式会社イノメディックス,株式会社イノメディックス
4010601031604.0,株式会社IHI,株式会社IHI
