contractor,cluster_labels,cluster_labels_num
GEアビエーション・ディストリビューション・ジャパン株式会社,3,5
KDDI株式会社,0,3
NECネッツエスアイ株式会社,3,2
NECファシリティーズ株式会社,5,4
NTTファイナンス株式会社,4,5
いすゞ自動車株式会社,0,3
アイコム株式会社,3,2
アイシン興産株式会社,4,5
アキレス株式会社,0,3
アルフレッサメディカルサービス株式会社,1,3
アンリツ株式会社,3,3
イズミ産業株式会社,3,4
イヨンインターナショナル株式会社,5,4
エヌ・ティ・ティ・コミュニケーションズ株式会社,5,4
オリンパスメディカルサイエンス販売株式会社,0,3
カメイ株式会社,2,4
カワボウ繊維株式会社,2,4
キーコム株式会社,2,5
コスモ石油ルブリカンツ株式会社,4,5
コーンズテクノロジー株式会社,3,4
シスメックス株式会社,0,3
シマヅプレシジョンインスツルメンツインク,5,5
シンフォニアテクノロジー株式会社,4,5
ジェイ・アール・シー特機株式会社,3,1
ジャパンカスタム株式会社,3,1
セコム株式会社,3,2
タカラベルモント株式会社,1,4
タマヤ計測システム株式会社,5,0
タレスジャパン株式会社,5,4
ダイキン工業株式会社,3,2
デンヨー株式会社,0,3
トスコ株式会社,2,3
トヨタエルアンドエフ東京株式会社,0,3
トヨタ自動車株式会社,2,3
トーエイ株式会社,5,3
ホシザキ東京株式会社,2,5
ホリカフーズ株式会社,2,5
ミドリ安全株式会社,0,3
ヤマトプロテック株式会社,1,2
ヤマハ発動機株式会社,3,3
ユニチカ株式会社,0,3
リコーエレメックス株式会社,3,2
リチャードソンエレクトロニクス株式会社,3,4
リーフエナジー株式会社,4,0
三信製織株式会社,0,3
三共油化工業株式会社,5,4
三波工業株式会社,3,0
三甲テキスタイル株式会社,0,3
三菱ふそうトラック・バス株式会社,2,3
三菱スペース・ソフトウエア株式会社,3,2
三菱商事株式会社,3,5
三菱自動車工業株式会社,2,3
三菱重工業株式会社,5,5
三菱電機株式会社,2,5
三菱電機特機システム株式会社,0,4
中国化薬株式会社,2,5
中川物産株式会社,3,3
丸文株式会社,5,5
丸紅エアロスペース株式会社,1,5
仁和貿易株式会社,2,0
伊藤忠アビエーション株式会社,4,0
伊藤忠エネクス株式会社,4,4
伊藤忠テクノソリューションズ株式会社,1,2
伸誠商事株式会社,0,5
住友ゴム工業株式会社,1,5
住友建機販売株式会社,0,3
住友重機械ハイマテックス株式会社,0,2
住商エアロシステム株式会社,5,4
住鉱潤滑剤株式会社,0,3
兼松株式会社,3,2
出光興産株式会社,3,2
北海道日油株式会社,2,5
双信商事株式会社,1,5
双日エアロスペース株式会社,0,3
古河電気工業株式会社,4,0
古河電池株式会社,0,0
古野電気株式会社,1,0
国際化工株式会社,2,0
堀口エンジニアリング株式会社,5,0
大東通商株式会社,2,2
大里商事株式会社,2,0
太陽工業株式会社,2,4
富士フイルムメディカル株式会社,2,5
富士通株式会社,5,3
富士電機株式会社,5,3
小竹医科器械株式会社,0,4
山洋電気株式会社,0,3
山甚物産株式会社,3,2
山陽色素株式会社,4,3
川上塗料株式会社,5,4
川崎重工業株式会社,1,0
川重商事株式会社,4,0
帝人テクロス株式会社,0,1
弘済企業株式会社,3,3
新成物産株式会社,3,2
新日本油脂工業株式会社,2,5
新日本無線株式会社,0,3
新明和工業株式会社,5,5
新陽株式会社,3,2
日新電装株式会社,1,2
日本アビオニクス株式会社,1,3
日本エアロスペース株式会社,5,5
日本グリース株式会社,5,4
日本トレクス株式会社,2,5
日本ハム株式会社,3,2
日本官帽制帽株式会社,3,5
日本工機株式会社,2,5
日本海洋株式会社,2,4
日本無線株式会社,3,3
日本航空電子工業株式会社,1,5
日本船燈株式会社,5,1
日本電気株式会社,2,5
日本電計株式会社,3,5
日本飛行機株式会社,3,1
日油株式会社,3,2
日産自動車株式会社,2,3
日興技化株式会社,4,1
日野自動車株式会社,0,5
旭精機工業株式会社,2,5
明星電気株式会社,0,3
明治産業株式会社,4,5
昭和シェル石油株式会社,2,5
昭和金属工業株式会社,3,0
有限会社シンカテック,0,3
有限会社小柳ルブサービス,3,2
有限会社志藤商会,5,0
有限会社東京インストルメンツ,3,2
東レ株式会社,2,5
東亜紡織株式会社,2,0
東京サイレン株式会社,2,2
東京日産自動車販売株式会社,5,2
東京航空計器株式会社,4,5
東京計器株式会社,5,5
東京電波株式会社,4,1
東洋メディック株式会社,2,4
東洋電機製造株式会社,2,5
東海理研株式会社,5,3
東興産業株式会社,0,3
東芝三菱電機産業システム株式会社,1,5
東芝電波プロダクツ株式会社,5,5
東邦商工株式会社,0,3
林兼石油株式会社,3,2
株式会社IHI,1,3
株式会社IHIエアロスペース,2,5
株式会社JALUX,0,1
株式会社MMコーポレーション,4,3
株式会社SHOEI,0,5
株式会社TFF,2,3
株式会社さくら商事,0,5
株式会社りゅうせき,4,4
株式会社アイホー,0,5
株式会社アイ・エヌ・シー・エンジニアリング,0,3
株式会社アルティア,5,4
株式会社イノメディックス,3,3
株式会社エアロパートナーズ,5,5
株式会社エヌ・ティ・ティ・データ,4,0
株式会社エム・シー・シー,0,4
株式会社カニヤ,0,4
株式会社キトー,0,3
株式会社クロサカ,4,0
株式会社グローバル・ゲイト,5,4
株式会社サンテック,5,4
株式会社シモン,0,5
株式会社ジャパンロジスティクスサービス,2,0
株式会社ジャムコ,3,1
株式会社ジュピターコーポレーション,5,5
株式会社ジーエス・ユアサテクノロジー,3,3
株式会社セイワ食品,2,5
株式会社タガヤ,1,1
株式会社ダイセル,5,4
株式会社ダイドーリミテッド,4,0
株式会社トプコン,3,1
株式会社ニコン,3,4
株式会社ネツレンハイメック,4,3
株式会社ノビテック,3,2
株式会社フジクラ,2,1
株式会社ブリヂストン,0,5
株式会社ヘルス,3,1
株式会社マーケテック,3,1
株式会社ムトウ,0,3
株式会社メディセオ,0,5
株式会社メルコーポレーション,3,2
株式会社モリタ,0,3
株式会社ヨシダ,3,2
株式会社リーガルコーポレーション,3,1
株式会社三社電機製作所,4,5
株式会社三菱総合研究所,5,0
株式会社下谷金属,5,1
株式会社京三製作所,4,0
株式会社今泉商店,4,2
株式会社倉本産業,5,3
株式会社光電製作所,5,5
株式会社初田製作所,5,3
株式会社國友銃砲火薬店,4,0
株式会社大原鉄工所,4,2
株式会社大淵銀器,0,2
株式会社守谷商会,0,2
株式会社宝幸,2,5
株式会社小松製作所,4,3
株式会社島津製作所,0,3
株式会社廣瀬商会,0,3
株式会社新栄商事,4,0
株式会社日本刀剣,4,4
株式会社日本製鋼所,3,4
株式会社日立国際電気,4,5
株式会社日立製作所,2,5
株式会社明電舎,3,2
株式会社松原製作所,2,3
株式会社栗原医療器械店,0,3
株式会社武田商店,5,0
株式会社武蔵富装,3,5
株式会社池田理化,5,4
株式会社海外物産,5,4
株式会社渡辺武商店,2,2
株式会社理経,5,5
株式会社石川製作所,1,0
株式会社神戸製鋼所,3,5
株式会社諸岡,0,0
株式会社赤尾,1,0
株式会社重松製作所,0,3
株式会社銀座銃砲店,1,5
株式会社鶴見精機,4,4
横河電子機器株式会社,2,0
横浜ゴム株式会社,1,5
櫻護謨株式会社,0,3
気仙沼ほてい株式会社,2,4
水戸工業株式会社,0,3
池上通信機株式会社,1,5
沖電気工業株式会社,5,4
海洋電子工業株式会社,5,1
渡辺鉄工株式会社,3,0
澤田産業株式会社,0,3
玉理興業株式会社,1,0
甲株式会社,2,2
神田通信工業株式会社,0,5
穂高電子株式会社,4,0
第一実業株式会社,2,4
米国防契約管理庁,5,4
米情報システム庁,3,2
米海軍省,3,2
米空軍省,3,2
米陸軍省,1,4
細谷火工株式会社,5,2
興亜化工株式会社,4,1
興研株式会社,2,5
船山株式会社,0,3
若泉漆器株式会社,2,5
英和株式会社,0,5
荏原実業株式会社,0,3
菊水電子工業株式会社,3,3
菊高産業株式会社,2,5
藤倉航装株式会社,1,3
藤本油化株式会社,2,5
蝶理株式会社,1,4
豊和工業株式会社,2,0
越前屋多崎株式会社,3,0
鈴与商事株式会社,3,1
長野日本無線株式会社,1,0
関東航空計器株式会社,0,5
阪和興業株式会社,2,5
青木安全靴製造株式会社,0,3
